File,NUID,SATREAD,SATMATH,ACTCUM,CARNIGIE,AVGSALMALE,AVGSALWOM,AVGSALTOT,HOUSE,HDEM,HREP,SENATE,SDEM,SREP,PERNWHT,STUFACR,TUITINS,FEEINS,TUITOUT,FEEOUT,FOOTBALL,TUITPER,SLCTVTY,APPEAL,RSRCHPSTU,HIGHBP,CHGENROL,FRACDEGRE,RETPCNT,BINGEDRK,HEALTHINS,MENTALHLTH,PHYSHLTH
training2013.csv,830,450,450,19,18,7438,6567,7079,0.803,-0.474,0.908,1.008,-0.617,1.079,0.945220388,15,5592,1590,11184,1590,NA,0.300903019,0.862018882,0.042122999,1427.97515,NA,1,0.151278796,63,,,,
training2013.csv,4829,640,650,28,15,11106,9149,10170,0.803,-0.474,0.908,1.008,-0.617,1.079,0.367191923,18,7206,0,16398,0,NA,0.061987279,0.857142857,0.247771836,12581.25524,45.9,1,0.20602944,80,,,,
training2013.csv,4370,480,480,19,18,6942,6216,6557,0.803,-0.474,0.908,1.008,-0.617,1.079,0.970362725,16,6936,1784,13872,1784,NA,0.298822723,50.43478261,0.16637931,302.6144205,40.6,1,0.121203185,62,,,,
training2013.csv,7025,620,640,30,16,10826,8073,9605,0.803,-0.474,0.908,1.008,-0.617,1.079,0.239736701,21,9450,0,23950,0,0.846,0.397031741,0.496385542,2.186893204,1486.4054,40,1,0.193175712,87,,,,
training2013.csv,6880,.,.,23,18,7669,6582,7173,0.803,-0.474,0.908,1.008,-0.617,1.079,0.470435769,16,8100,650,24300,650,NA,0.362608057,0.755230126,2.340720222,85.81062692,40.6,1,0.132026567,63,,,,
training2013.csv,766,620,650,30,16,10201,8083,9429,0.803,-0.474,0.908,1.008,-0.617,1.079,0.18875908,18,8256,1596,24768,1596,0.857,0.359702349,0.58125,3.268817204,4810.748596,NA,1,0.221111361,89,,,,
training2013.csv,3623,630,640,29,21,7625,7325,7513,0.803,-0.474,0.908,1.008,-0.617,1.079,0.169585987,13,29600,1090,29600,1090,0.556,0.289269418,0.329787234,3.774193548,0,45.9,1,0.239649682,80,,,,
training2013.csv,4471,.,.,.,22,4477,6347,5645,0.803,-0.474,0.908,1.008,-0.617,1.079,0.673321234,13,11150,0,11150,0,NA,0.690546561,0.800244349,0.536641221,NA,45.9,1,0.333938294,50,,,,
training2013.csv,6533,500,540,24,22,5774,6292,6027,0.803,-0.474,0.908,1.008,-0.617,1.079,0.494791667,14,20742,999,20742,999,0.7,0.373727484,5.540740741,0.290775401,0,40.6,1,0.161458333,62,,,,
training2013.csv,213,.,.,.,24,5570,5221,5512,0.803,-0.474,0.908,1.008,-0.617,1.079,0.256637168,5,8952,840,8952,840,NA,0.153803437,1,1,538.079646,NA,1,0.079646018,100,,,,
