File,NUID,SATREAD,SATMATH,ACTCUM,CARNIGIE,AVGSALMALE,AVGSALWOM,AVGSALTOT,HOUSE,HDEM,HREP,SENATE,SDEM,SREP,PERNWHT,STUFACR,TUITINS,FEEINS,TUITOUT,FEEOUT,FOOTBALL,TUITPER,SLCTVTY,APPEAL,RSRCHPSTU,HIGHBP,CHGENROL,FRACDEGRE,RETPCNT,BINGEDRK,HEALTHINS,MENTALHLTH,PHYSHLTH
prediction2013.csv,9219,640,650,29,15,10404,7642,9341,0.803,-0.474,0.908,1.008,-0.617,1.079,0.303047663,16,9192,0,21506,0,NA,0.230443867,0.726027397,2.447439353,10455.82631,36.7,NA,NA,NA,,,,
prediction2013.csv,8874,.,.,.,22,5761,5676,5720,0.803,-0.474,0.908,1.008,-0.617,1.079,0.988995873,17,7920,170,7920,170,NA,0.214510435,1,1,0,NA,NA,NA,NA,,,,
prediction2013.csv,9774,540,540,26,18,7265,6402,6857,0.803,-0.474,0.908,1.008,-0.617,1.079,0.349242772,18,8490,300,16980,300,NA,0.387592137,0.832727273,0.104803493,25.61514456,NA,NA,NA,NA,,,,
prediction2013.csv,8377,510,520,22,22,6172,7434,6679,0.803,-0.474,0.908,1.008,-0.617,1.079,0.983110261,13,18100,800,18100,800,NA,0.269945799,129.2857143,1.002209945,8269.161249,NA,NA,NA,NA,,,,
prediction2013.csv,9424,575,510,24,20,5196,5080,5137,0.634,-0.564,0.797,0.621,-0.742,0.855,0.465957447,8,29700,110,29700,110,NA,0.428929017,0.372287145,1.217488789,801.7202128,30.2,NA,NA,NA,,,,
prediction2013.csv,8360,.,.,.,-3,NA,4133,4133,0.771,-1.411,1.263,0.597,-1.473,0.974,0.525510204,26,NA,NA,NA,NA,NA,NA,0.993548387,6.357142857,NA,27.5,NA,NA,NA,,,,
prediction2013.csv,9577,620,650,28,15,11714,8519,10405,0.771,-1.411,1.263,0.597,-1.473,0.974,0.416504332,23,9343,518,23136,518,0.714,0.446288529,0.724689165,2.318627451,4798.556613,28.2,NA,NA,NA,,,,
prediction2013.csv,8369,580,600,25,22,4617,4616,4617,0.771,-1.411,1.263,0.597,-1.473,0.974,0.29558011,13,20952,880,20952,880,NA,0.494800598,0.588621444,1.942379182,0,28.9,NA,NA,NA,,,,
prediction2013.csv,9317,680,650,32,21,7501,6903,7233,0.678,0.136,1.123,0.821,0.195,0.965,0.252427184,11,37358,300,37358,300,0.3,0.252284355,0.692307692,2.151234568,843.4979196,NA,NA,NA,NA,,,,
prediction2013.csv,8412,640,640,28,22,6585,5920,6425,0.678,0.136,1.123,0.821,0.195,0.965,0.220315236,15,21736,998,21736,998,NA,0.357533319,14.32653061,0.365384615,36.31348511,NA,NA,NA,NA,,,,
prediction2013.csv,8572,.,.,.,9,4757,7171,6567,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.630434783,13,29900,750,29900,750,NA,0.946084976,2.154440154,0.259856631,0,28.9,NA,NA,NA,,,,
prediction2013.csv,9925,800,800,35,15,16684,13847,16120,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.625698324,3,39990,1548,39990,1548,NA,0.016306978,0.94508894,0.340425532,111012.8921,27.4,NA,NA,NA,,,,
prediction2013.csv,9122,510,520,22,18,8140,7989,8072,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.689006273,21,5472,1019,16632,1019,NA,0.244948397,0.763416478,0.05049505,139.1940134,28.4,NA,NA,NA,,,,
prediction2013.csv,9621,550,570,24,18,8720,7864,8370,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.450503307,24,5472,1500,16632,1500,NA,0.323170219,0.396325459,3.013245033,74.02369859,29.9,NA,NA,NA,,,,
prediction2013.csv,9207,660,730,31,15,13961,11060,13126,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.7265157,19,11220,2051,34098,2051,NA,NA,0.442658875,1.199669967,28189.52011,NA,NA,NA,NA,,,,
prediction2013.csv,9524,550,560,25,18,7290,6759,7044,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.423108723,11,29000,630,29000,630,NA,0.77769723,0.884765625,1.344370861,0,25.7,NA,NA,NA,,,,
prediction2013.csv,8876,.,.,.,30,2893,2679,2756,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.662627428,23,27955,965,27955,965,NA,0.987269873,0.015075377,150.5,NA,28.9,NA,NA,NA,,,,
prediction2013.csv,9878,.,.,.,10,2450,2300,2367,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.623493976,24,27955,965,27955,965,NA,NA,0.595238095,0.284,NA,25.9,NA,NA,NA,,,,
prediction2013.csv,9486,.,.,.,30,7471,8559,7782,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.538175047,12,26500,0,26500,0,NA,0.704008008,0.461474037,1.680580762,0,NA,NA,NA,NA,,,,
prediction2013.csv,9244,.,.,.,30,7121,6872,7034,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.669796557,9,24086,450,24086,450,NA,0.847085105,0.814741036,0.200488998,NA,26.7,NA,NA,NA,,,,
prediction2013.csv,8613,550,580,25,30,6942,6930,6936,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.755327545,5,37380,2050,37380,2050,NA,0.868406284,4.153846154,0.166666667,0,28.9,NA,NA,NA,,,,
prediction2013.csv,8615,630,630,28,18,9779,9465,9653,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.424799379,14,29750,606,29750,606,NA,0.671552209,0.637767221,1.681564246,93.1529899,26.7,NA,NA,NA,,,,
prediction2013.csv,9256,590,610,26,16,9784,8585,9245,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.614491777,25,5472,1294,16632,1294,NA,0.38168117,0.282343369,1.925072046,97.75184516,26.7,NA,NA,NA,,,,
prediction2013.csv,9042,.,.,.,30,10593,9578,10278,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.573770492,6,38900,680,38900,680,NA,0.570577048,0.150823828,4.56302521,0,25.9,NA,NA,NA,,,,
prediction2013.csv,8916,733,720,32,21,10624,10578,10598,-1.308,-1.669,1.541,-1.383,-1.565,1.398,0.487252125,10,45350,214,45350,214,NA,0.29966244,2.317307692,0.315352697,1699.716714,NA,NA,NA,NA,,,,
